Datetime,ms,Pressure(kPa),Temp(C)
2023-02-22 21:29:57,0,97.7684,3.44
2023-02-22 21:34:57,0,97.7852,3.467
2023-02-22 21:39:57,0,97.8016,3.497
2023-02-22 21:44:57,0,97.7993,3.532
2023-02-22 21:49:57,0,97.7853,3.549
2023-02-22 21:54:57,0,97.7715,3.554
2023-02-22 21:59:57,0,97.7759,3.563
2023-02-22 22:04:57,0,97.7753,3.565
2023-02-22 22:09:57,0,97.787,3.563
2023-02-22 22:14:57,0,97.8026,3.572
2023-02-22 22:19:57,0,97.8112,3.589
2023-02-22 22:24:57,0,97.8132,3.588
2023-02-22 22:29:57,0,97.8094,3.585
2023-02-22 22:34:57,0,97.8187,3.579
2023-02-22 22:39:57,0,97.8248,3.58
2023-02-22 22:44:57,0,97.8391,3.591
2023-02-22 22:49:57,0,97.8428,3.589
2023-02-22 22:54:57,0,97.8624,3.598
2023-02-22 22:59:57,0,97.8743,3.625
2023-02-22 23:04:57,0,97.8906,3.658
2023-02-22 23:09:57,0,97.8987,3.676
2023-02-22 23:14:57,0,97.9122,3.702
2023-02-22 23:19:57,0,97.9161,3.722
2023-02-22 23:24:57,0,97.9151,3.74
2023-02-22 23:29:57,0,97.9227,3.755
2023-02-22 23:34:57,0,97.9143,3.769
2023-02-22 23:39:57,0,97.8898,3.776
2023-02-22 23:44:57,0,97.895,3.767
2023-02-22 23:49:57,0,97.9318,3.774
2023-02-22 23:54:57,0,97.9458,3.795
2023-02-22 23:59:57,0,97.954,3.809
2023-02-23 00:04:57,0,97.9634,3.828
2023-02-23 00:09:57,0,97.9855,3.857
2023-02-23 00:14:57,0,97.9976,3.88
2023-02-23 00:19:57,0,98.0055,3.908
2023-02-23 00:24:57,0,98.0044,3.931
2023-02-23 00:29:57,0,97.9989,3.953
2023-02-23 00:34:57,0,97.9963,3.972
2023-02-23 00:39:57,0,98.0124,4.0
2023-02-23 00:44:57,0,98.0372,4.023
2023-02-23 00:49:57,0,98.0476,4.043
2023-02-23 00:54:57,0,98.0662,4.066
2023-02-23 00:59:57,0,98.0681,4.095
2023-02-23 01:04:57,0,98.0756,4.127
2023-02-23 01:09:57,0,98.0857,4.159
2023-02-23 01:14:57,0,98.0831,4.195
2023-02-23 01:19:57,0,98.0598,4.221
2023-02-23 01:24:57,0,98.0691,4.215
2023-02-23 01:29:57,0,98.0745,4.206
2023-02-23 01:34:57,0,98.0758,4.217
2023-02-23 01:39:57,0,98.0959,4.236
2023-02-23 01:44:57,0,98.0983,4.263
2023-02-23 01:49:57,0,98.1036,4.296
2023-02-23 01:54:57,0,98.1016,4.331
2023-02-23 01:59:57,0,98.0977,4.367
2023-02-23 02:04:57,0,98.0956,4.412
2023-02-23 02:09:57,0,98.1013,4.447
2023-02-23 02:14:57,0,98.1163,4.485
2023-02-23 02:19:57,0,98.1163,4.525
2023-02-23 02:24:57,0,98.1093,4.573
2023-02-23 02:29:57,0,98.1036,4.615
2023-02-23 02:34:57,0,98.1078,4.66
2023-02-23 02:39:57,0,98.1021,4.706
2023-02-23 02:44:57,0,98.0848,4.745
2023-02-23 02:49:57,0,98.0867,4.781
2023-02-23 02:54:57,0,98.0819,4.81
2023-02-23 02:59:57,0,98.094,4.835
2023-02-23 03:04:57,0,98.0941,4.861
2023-02-23 03:09:57,0,98.0939,4.892
2023-02-23 03:14:57,0,98.0862,4.918
2023-02-23 03:19:57,0,98.083,4.954
2023-02-23 03:24:57,0,98.0739,4.992
2023-02-23 03:29:57,0,98.0766,5.043
2023-02-23 03:34:57,0,98.0719,5.098
2023-02-23 03:39:57,0,98.0728,5.157
2023-02-23 03:44:57,0,98.0798,5.22
2023-02-23 03:49:57,0,98.0855,5.272
2023-02-23 03:54:57,0,98.0888,5.318
2023-02-23 03:59:57,0,98.0839,5.341
2023-02-23 04:04:57,0,98.0824,5.332
2023-02-23 04:09:57,0,98.0862,5.319
2023-02-23 04:14:57,0,98.0845,5.287
2023-02-23 04:19:57,0,98.0885,5.254
2023-02-23 04:24:57,0,98.0951,5.215
2023-02-23 04:29:57,0,98.0939,5.179
2023-02-23 04:34:57,0,98.0886,5.145
2023-02-23 04:39:57,0,98.0892,5.09
2023-02-23 04:44:57,0,98.0933,4.997
2023-02-23 04:49:57,0,98.0933,4.885
2023-02-23 04:54:57,0,98.0985,4.783
2023-02-23 04:59:57,0,98.0942,4.718
2023-02-23 05:04:57,0,98.0912,4.727
2023-02-23 05:09:57,0,98.0956,4.823
2023-02-23 05:14:57,0,98.1024,4.914
2023-02-23 05:19:57,0,98.0994,5.021
2023-02-23 05:24:57,0,98.1044,5.148
2023-02-23 05:29:57,0,98.1101,5.22
2023-02-23 05:34:57,0,98.109,5.206
